lake,depth,area,elev
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,16.45920000000001,2644276.289,320
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,45.41520000000003,97393923.2443385,320
nhdhr_105567402,5.800000000000011,482703154.023928,320
nhdhr_105954753,22.600000000000023,160057287.682918,320
nhdhr_107074156,17.98320000000001,1975942.98311465,319.999998926086
nhdhr_107074838,6.100000000000023,60825.5236696899,320
nhdhr_114542575,23.164800000000014,1030360.67215639,320
nhdhr_114544961,6.400800000000004,239156.514360368,320
nhdhr_120017988,7.924800000000005,5994375.7725842,320
nhdhr_120017991,8.229600000000005,1735912.66477894,320
nhdhr_120017997,1,1063518.81663848,320
nhdhr_120018014,5.486400000000003,1917638.00952869,320
nhdhr_120018022,7.010400000000004,229721.698074354,320
nhdhr_120018025,6.096000000000004,1284245.2361911,320
nhdhr_120018032,10.972800000000007,4235558.41669399,320
nhdhr_120018036,8.229600000000005,1821154.14948652,320
nhdhr_120018038,17.06880000000001,615490.169693571,320
nhdhr_120018046,24.993600000000015,9846677.54692947,320
nhdhr_120018049,18.59280000000001,962043.564206278,320
nhdhr_120018055,9.144000000000005,598046.458632438,320
nhdhr_120018059,7.010400000000004,768974.887846199,320
nhdhr_120018060,10.668000000000006,1198679.44013199,320
nhdhr_120018071,21.945600000000013,173290.343843565,320
nhdhr_120018072,12.801600000000008,856192.844045084,320
nhdhr_120018073,9.144000000000005,738417.677390936,320
nhdhr_120018074,14.020800000000008,286692.377950344,320
nhdhr_120018078,3.352800000000002,335486.163993009,320
nhdhr_120018079,10.972800000000007,1512139.35783348,320
nhdhr_120018081,12.496800000000007,951058.155132778,320
nhdhr_120018084,17.06880000000001,296443.587963129,320
nhdhr_120018085,7.6200000000000045,273721.719791868,320
nhdhr_120018088,14.325600000000009,3762590.91828911,320
nhdhr_120018089,10.972800000000007,392306.329413525,320
nhdhr_120018090,4.572000000000003,271782.470509466,319.999999503948
nhdhr_120018091,10.668000000000006,1158393.99380312,320
nhdhr_120018092,7.315200000000004,154536.155860109,319.999996804455
nhdhr_120018094,4.572000000000003,675357.12497564,320
nhdhr_120018097,9.448800000000006,452276.655000057,320
nhdhr_120018098,4.572000000000003,392364.719501272,320
nhdhr_120018100,27.432000000000016,1697300.9185965,320
nhdhr_120018102,11.277600000000007,580087.263941105,320
nhdhr_120018103,9.448800000000006,220055.739130012,320
nhdhr_120018106,9.753600000000006,827232.634611069,320
nhdhr_120018107,10.668000000000006,192939.436338424,319.99999998781
nhdhr_120018108,4.876800000000003,293727.110905964,320
nhdhr_120018114,31.100000000000023,112501535.50932,320
nhdhr_120018120,8.699999999999989,406688,320
nhdhr_120018124,17.37360000000001,943268.200039809,320
nhdhr_120018126,10.058400000000006,424535.933201803,320
nhdhr_120018129,5.181600000000003,1043567.94935129,320
nhdhr_120018132,14.935200000000009,430456.224058481,320
nhdhr_120018133,21.336000000000013,2719878.84095205,320
nhdhr_120018135,2,435164.033012092,320
nhdhr_120018136,10.97279999999995,671288.670773981,319.999999993496
nhdhr_120018139,12.192000000000007,665016.697791836,320
nhdhr_120018140,12.192000000000007,1200529.70046093,320
nhdhr_120018146,15.240000000000009,5500658.21843477,320
nhdhr_120018182,2,659352.2341187,320
nhdhr_120018204,7.899999999999977,379150,320
nhdhr_120018211,17.98320000000001,3296818.03131807,320
nhdhr_120018212,7.899999999999977,139475,320
nhdhr_120018220,6.399999999999977,3712676.93164452,320
nhdhr_120018226,6.400800000000004,2064044.39831344,320
nhdhr_120018379,3.3143972750179955,4031826.80967678,319.980798637509
nhdhr_120018459,9.144000000000005,4766581.73089846,320
nhdhr_120018493,24.688800000000015,12412220.9713399,320
nhdhr_120018495,14.935200000000009,5151261.37763451,320
nhdhr_120018510,12.801600000000008,7490762.95013932,320
nhdhr_120018511,8.839200000000005,742032.436411293,320
nhdhr_120019016,63.09359999999998,20423637.6781725,320
nhdhr_120019058,55.778399999999976,34505362.0774685,320
nhdhr_120019246,12.801600000000008,13104902.1080699,320
nhdhr_120019294,12.192000000000007,518499955.786354,320
nhdhr_120019336,9.448800000000006,1971891.81670079,320
nhdhr_120019371,23.66958477999998,97252533.34,320
nhdhr_120019636,12.192000000000007,5887154.94078691,320
nhdhr_120019638,39.928800000000024,11971128.8212438,320
nhdhr_120019661,33.52800000000002,22503171.6792276,320
nhdhr_120019704,5.246219493000012,2465739.966,320
nhdhr_120019712,8.839200000000005,1065443.22410989,320
nhdhr_120019732,20.116800000000012,25619619.4885638,320
nhdhr_120019749,18.600000000000023,8631774.34185821,320
nhdhr_120019849,24.688800000000015,716275.622493949,320
nhdhr_120019850,13.100000000000023,1379898.08031868,320
nhdhr_120019854,21.30000000000001,12781061.0509029,320
nhdhr_120019861,4.876800000000003,2141066.79098724,320
nhdhr_120019864,30.480000000000018,3169511.96668482,320
nhdhr_120019913,12.496800000000007,2410719.89408118,320
nhdhr_120019932,31.39440000000002,33860404.9347941,320
nhdhr_120020090,3.9624000000000024,7949883.45661724,320
nhdhr_120020199,13.411200000000008,715094.993105067,320
nhdhr_120020200,8.534400000000005,992424.761202296,320
nhdhr_120020204,12.496800000000007,462107.724953986,320
nhdhr_120020210,4.572000000000003,392195.761578114,320
nhdhr_120020212,8.229600000000005,735167.549158579,320
nhdhr_120020218,10.058400000000006,123637.377234381,320
nhdhr_120020226,1.9812000000000012,168053.239559904,320
nhdhr_120020235,6.400800000000004,1205735.05475119,320
nhdhr_120020240,16.45920000000001,3865788.31924628,320
nhdhr_120020242,12.192000000000007,1503031.25347344,320
nhdhr_120020245,9.753600000000006,938198.656446262,320
nhdhr_120020307,32.00400000000002,3363299.56349425,320
nhdhr_120020334,8.839200000000005,883186.828394116,319.999999550667
nhdhr_120020342,7.6200000000000045,298718.82078728,320
nhdhr_120020343,10.972800000000007,9190148.02732853,320
nhdhr_120020347,10.058400000000006,354369.417666043,320
nhdhr_120020348,2.5,242775.560731538,320
nhdhr_120020350,5.486400000000003,189778.01406493,320
nhdhr_120020352,2,131455.486428589,320
nhdhr_120020354,15.240000000000009,6833245.30839621,320
nhdhr_120020357,4,60182.5222987235,320
nhdhr_120020359,6,177986.789382637,320
nhdhr_120020360,2,222536.384692177,320
nhdhr_120020366,4,189941.373172052,320
nhdhr_120020367,5,130930.193883896,320
nhdhr_120020370,19.812000000000012,1849560.33298851,320
nhdhr_120020387,5.181600000000003,296208.173839724,320
nhdhr_120020388,7.010400000000004,635599.041530109,320
nhdhr_120020392,4.2672000000000025,353638.772621212,320
nhdhr_120020398,2,534729.011928909,320
nhdhr_120020567,30.480000000000018,8266371.24650621,320
nhdhr_120020636,4.572000000000003,1437016.15307431,320
nhdhr_120020798,7,1879423.83636936,320
nhdhr_120020805,14.325600000000009,460922.581227027,320
nhdhr_121622394,13.716000000000008,9866318.1991528,320
nhdhr_121623126,7.924800000000005,626016.892003685,320
nhdhr_121623301,16.76400000000001,2954956.23746817,320
nhdhr_121623866,10.058400000000006,1827246.83023227,320
nhdhr_121839184,8.229600000000005,4567011.03486045,319.999998792259
nhdhr_122851099,10.128864229999976,1468860.37211391,320
nhdhr_143249192,28.651200000000017,4948536.45299106,320
nhdhr_143249221,15.240000000000009,390920.16481934,320
nhdhr_143249470,25.30000000000001,39611516.3025305,320
nhdhr_143249522,14.020800000000008,1020571.80382887,320
nhdhr_143249640,22.5,13597585.4759614,320
nhdhr_143250015,9.448800000000006,12961051.7647056,320
nhdhr_145088870,9.064175671999976,4027426.01260243,320
nhdhr_151949888,9.144000000000005,621382.862849939,320
nhdhr_166867846,42.10000000000002,13904773.645929,320
nhdhr_166867852,30.480000000000018,2804194.43415698,320
nhdhr_166867860,36.57600000000002,5516056.03530431,320
nhdhr_166867865,16.76400000000001,737003.986645777,320
nhdhr_166867866,41.452800000000025,31211607.5760549,320
nhdhr_166867869,30.480000000000018,2957354.30897253,320
nhdhr_166867872,24.384000000000015,7180236.71499461,320
nhdhr_167256799,17.37360000000001,2538413.88558864,320
nhdhr_167256807,21.336000000000013,1732719.25251391,320
nhdhr_26F12E6A-07D1-4DC6-8BEA-980AD41B687A,15.832124290000024,5211158.172,320
nhdhr_32671150,17.37360000000001,5833046.90092508,320
nhdhr_32672122,8.839200000000005,369091.150363723,320
nhdhr_32732186,12.192000000000007,2891666.94710567,320
nhdhr_34119718,1.5210669032339865,1843722.39700231,319.998533451617
nhdhr_34124239,3.048000000000002,1430098.60743849,320
nhdhr_34126579,3.657600000000002,258846.10557632,320
nhdhr_34126801,2.1336000000000013,72834.7565641148,320
nhdhr_34127011,3.048000000000002,169390.328670518,320
nhdhr_34127389,7.6200000000000045,103980.797334738,319.999997272333
nhdhr_34127672,9.753600000000006,134283.42849873,320
nhdhr_34127708,13.106400000000008,236433.974988113,320
nhdhr_34127844,13.106400000000008,460262.380052758,320
nhdhr_34128205,11.887200000000007,320438.597301006,320
nhdhr_34128269,1.365000000000009,65735.317211166,320
nhdhr_34128424,2.8956000000000017,117613.251278087,320
nhdhr_34129232,2.1336000000000013,83033.4495912466,320
nhdhr_34129366,4.876800000000003,86709.4669256662,320
nhdhr_34129544,27.736800000000017,800016.976442041,320
nhdhr_34130157,3.657600000000002,335186.537566006,320
nhdhr_34130604,15.240000000000009,662845.458655553,320
nhdhr_34130613,13.411199999999951,296303.300696754,319.999999980419
nhdhr_34130818,6.096000000000004,216409.533607289,319.999980125285
nhdhr_34130988,8.839200000000005,760200.243975238,320
nhdhr_34131145,22.860000000000014,211505.390411094,320
nhdhr_34131278,12.801600000000008,698988.046520581,320
nhdhr_34131552,26.212800000000016,1380880.93912052,320
nhdhr_34132376,11.582400000000007,672510.204645411,320
nhdhr_34132539,28.651200000000017,1081183.81281578,320
nhdhr_34133487,25.603200000000015,584315.924368188,320
nhdhr_34242518,20.116800000000012,1088894.44916555,320
nhdhr_37648633,10.972800000000007,1165822.57919972,320
nhdhr_45337659,11.277600000000007,331366.309034537,320
nhdhr_45337711,6.096000000000004,53768.9323187023,320
nhdhr_45365491,17.399999999999977,2271100.36050432,320
nhdhr_45385910,5.486400000000003,3019958.99231577,320
nhdhr_45722930,26.517600000000016,972339.882620274,320
nhdhr_45728298,13.411200000000008,529988.396377104,320
nhdhr_45730354,8.534400000000005,621859.088722029,320
nhdhr_45730390,22.250400000000013,2311848.49383125,320
nhdhr_45730422,6.705600000000004,331051.064174817,320
nhdhr_45730856,10.668000000000006,374980.03397637,320
nhdhr_47478911,27.432000000000016,3456390,320
nhdhr_47726570,29.565600000000018,1211979.38924298,320
nhdhr_59753059,17.06880000000001,1070613.45124592,320
nhdhr_59808243,17.373599999999954,93055.0801295732,319.999963626305
nhdhr_68840139,19.50720000000001,4838875.13886297,320
nhdhr_69885442,12.801600000000008,2895200,320
nhdhr_69886650,15.240000000000009,52418243.9361235,320
nhdhr_70332231,16.15440000000001,984835.930550575,320
nhdhr_74926427,32.808398950000026,59055775.73706,320
nhdhr_74926457,27.432000000000016,20798535.2906406,320
nhdhr_74926527,36.089238850000015,3235744.9877394,320
nhdhr_75651475,7.6200000000000045,114445.730127834,320
nhdhr_80004215,41.757600000000025,7534610.67538219,320
nhdhr_80005045,14.630400000000009,2726192.14595016,320
nhdhr_81002103,13.716000000000008,2665787.77136358,320
nhdhr_81642813,19.812000000000012,419466.043856269,320
nhdhr_83826087,1.8292682929999842,329725.78223295,320
nhdhr_86273851,9.144000000000005,867161.51234848,319.999999974671
nhdhr_86274219,4.572000000000003,1312254.69733397,320
nhdhr_86274695,18.28800000000001,1654064.04038154,320
nhdhr_86275155,5.181600000000003,271644.766533327,320
nhdhr_86275195,16.15440000000001,1111857.66425565,320
nhdhr_86275759,21.640800000000013,286195.534787868,320
nhdhr_86275955,12.801600000000008,456573.674864729,320
nhdhr_91593573,3.5,73702.7154828347,320
nhdhr_91593827,6.400800000000004,354235.643387954,320
nhdhr_91594453,4.876799999999946,357488.628294834,319.999874377932
nhdhr_91594459,3.5,282414.32981405,320
nhdhr_91594761,19.812000000000012,673629.535923424,320
nhdhr_91594833,14.630400000000009,1198298.93033427,320
nhdhr_91595565,3,100270.831641145,320
nhdhr_91595713,2.5,50102.8803407699,320
nhdhr_91595755,16.45920000000001,152672.418520027,320
nhdhr_91595845,13.106400000000008,53423.80478701,320
nhdhr_91595863,3,53748.5096184667,320
nhdhr_91595965,17.37360000000001,48662.5335258804,320
nhdhr_91596605,2.958000000000027,203275.598228876,320
nhdhr_91597015,6.096000000000004,209005.186147312,320
nhdhr_91597267,10.972800000000007,2390888.03534833,320
nhdhr_91597877,8.229600000000005,699900.777826287,320
nhdhr_91681839,2.7432000000000016,595212.117072836,320
nhdhr_91684449,12.496800000000007,2302239.46644894,320
nhdhr_91684979,14.020800000000008,881496.805769505,320
nhdhr_91685475,14.630400000000009,183594.643358991,320
nhdhr_91686757,7.6200000000000045,119513.686798463,320
nhdhr_91687083,2,126224.32781975,320
nhdhr_91688409,10.058400000000006,195476.17000412,320
nhdhr_91688455,20.116800000000012,821710.659093005,319.999950766938
nhdhr_91688775,4.800000000000011,386345,320
nhdhr_91688957,4.5,138053,320
nhdhr_91689611,4,54445.8505982161,320
nhdhr_91689717,3,119108.563864917,320
nhdhr_91689905,2,247489.282629162,320
nhdhr_91690129,3,154621.05822736,320
nhdhr_91690341,5,55761.3558124751,320
nhdhr_91690625,6.400800000000004,406346.828943852,320
nhdhr_91690679,13.411200000000008,177215.109522943,320
nhdhr_91691383,11.582400000000007,623150.493582777,319.999941843185
nhdhr_91691877,38.40480000000002,1039309.03887833,320
nhdhr_91692247,12.496800000000007,228917.158720487,320
nhdhr_91692261,2,44603.450361073,320
nhdhr_adfdf197-9f62-4650-8866-676709b89aee,17.67840000000001,102401284.959971,320
nhdhr_eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,16.254153980000012,5228027.208,320
